fg_price_low,Close,num_days_gt_50d_ma,High,num_days_gt_10d_ma,,price
25.814287,25.83713,22,26.602858,5,,100.94
25.907145,26.414286,28,26.562859,5,,11.63
26.3243,26.574858,16,26.694286,5,,0.0042
26.757145,27.144285,18,27.144285,4,,1.105
27.004572,27.178572,23,27.22143,6,,0.029
26.984287,27.038572,14,27.35,1,,0.00055
26.945715,27.210001,10,27.242857,6,,0.0015
27.091429,27.258572,10,27.358572,0,,0.00855
27.1,27.145716,7,27.310001,0,,0.085
27.175714,27.327143,28,27.474289,3,,12.29
27.075716,27.222858,30,27.274286,5,,20.74
26.834286,26.864286,29,27.194286,6,,2
26.507145,27.122858,35,27.142859,5,,11.25
28.264288,28.394287,,28.82143,,,60.25
28.46143,29.274286,23,29.8157,5,,153.5
28.93,29.314287,23,29.69286,4,,0.035
29.032858,29.134287,27,29.400002,5,,115.81
28.585716,28.925714,,29.535715,,,0.0001
28.064287,28.195715,26,28.972858,5,,0.19
27.300001,27.485714,6,28.288574,2,,0.213
27.448572,28.050003,2,28.115715,0,,24.09
26.580957,26.928572,14,28.114288,0,,7.275
26.510002,27.044287,24,27.554287,4,,0.394
26.560001,26.964287,1,27.074287,0,,146
27.175714,27.258572,,27.69286,,,60.9
27.402859,27.718588,23,27.857143,5,,90.7
27.485714,27.762857,31,27.884287,5,,0.22515
28.037144,28.780003,25,28.842857,6,,27.04
28.715715,28.997143,0,29.282858,0,,9.6
28.832859,29.035715,28,29.285715,5,,87.59
28.775715,28.855717,4,29.267143,0,,0.0086
28.867146,29.207144,27,29.26143,4,,96.92
29.287144,29.518574,23,29.714287,6,,22.78
29.285715,29.57143,21,29.634287,6,,0.153
29.142859,29.42286,24,29.57143,5,,0.2925
28.542858,28.644287,27,29.230001,2,,0.415
28.251429,28.560001,10,28.627144,0,,1.02
28.992859,29.41143,0,29.428574,0,,97.45
28.985714,29.205715,,29.41143,,,0.2
29.108572,29.170002,,29.378572,,,4.42
28.338572,28.655716,,28.994287,,,0.028
28.395716,28.558573,25,28.811428,7,,0.0001
28.118572,28.138573,29,28.967144,5,,204
27.964287,28.032858,,28.774286,,,36.66
28.038574,28.068573,23,28.425714,4,,0.185
27.182858,27.617146,4,28.554287,0,,277.06
26.954287,26.992857,3,27.68143,0,,0.135
26.957144,27.124287,4,27.478573,2,,0.303
27.187143,28.257145,27,28.308573,4,,120
28.017143,28.061428,16,28.528572,5,,0.0006
27.632858,27.810001,32,28.285715,5,,0.0176
27.508572,28.140001,15,28.204287,3,,11.47
27.610003,27.738573,6,28.215715,2,,108.83
27.792858,27.86143,0,28.07143,0,,0.38
27.285715,27.408573,,27.857143,,,23.37
27.514288,27.918571,,27.929003,,,3.13
27.952858,28.318573,24,28.535715,4,,4
28.380001,28.622858,36,28.69286,4,,0.0001
28.687143,28.871431,,28.91143,,,0.825
